path,qualified_name,kind,line,end_line,decorators,callers,callees,imports,runtime_reachability,tests,configuration_dependencies,data_io,side_effects,external_services,documented,status
acceptance.py,acceptance,module,1,160,,tests/acceptance/test_acceptance_cli.py;tests/acceptance/test_acceptance_helpers.py,__future__;dubbing.apps.dubbing_web;io;json;pathlib;re;subprocess;sys;tempfile;threading;time;urllib.error;urllib.request;uuid;wave,__future__;dubbing.apps.dubbing_web;io;json;pathlib;re;subprocess;sys;tempfile;threading;time;urllib.error;urllib.request;uuid;wave,STATICALLY_REFERENCED,,,,,,YES,ACTIVE_OR_EXTERNALLY_REACHABLE
dubbing/__init__.py,dubbing.__init__,module,1,1,,acceptance.py;dubbing/__main__.py;dubbing/aligner.py;dubbing/apps/dubbing_web.py;dubbing/apps/personal_capture/__init__.py;dubbing/apps/personal_capture/benchmark.py;dubbing/apps/personal_capture/preflight.py;dubbing/apps/personal_capture/review.py;dubbing/apps/personal_capture/runtime.py;dubbing/apps/personal_capture/service.py;dubbing/apps/personal_capture/watcher.py;dubbing/assembler.py;dubbing/backends/__init__.py;dubbing/backends/base.py;dubbing/backends/espeak.py;dubbing/backends/piper.py;dubbing/backends/say.py;dubbing/batch.py;dubbing/cli/__init__.py;dubbing/cli/factories.py;dubbing/cli/main.py;dubbing/diarization/__init__.py;dubbing/diarization/attribution.py;dubbing/diarization/base.py;dubbing/diarization/job.py;dubbing/diarization/sherpa.py;dubbing/pipeline.py;dubbing/prosody.py;dubbing/srt_parser.py;dubbing/transcription/__init__.py;dubbing/transcription/attribution.py;dubbing/transcription/base.py;dubbing/transcription/faster_whisper.py;dubbing/transcription/job.py;dubbing/transcription/mlx_whisper.py;dubbing/transcription/pipeline.py;dubbing/transcription/render.py;dubbing/translation/__init__.py;dubbing/translation/job.py;dubbing/translation/lingua_detector.py;dubbing/translation/nllb.py;dubbing/translation/pipeline.py;tests/cli/test_gpu_launcher.py;tests/conftest.py;tests/core/test_adversarial_hardening.py;tests/core/test_aligner.py;tests/core/test_assembler.py;tests/core/test_batch.py;tests/core/test_boundaries.py;tests/core/test_espeak_backend.py;tests/core/test_media.py;tests/core/test_mutant_killers.py;tests/core/test_parallel_pipeline.py;tests/core/test_pipeline.py;tests/core/test_piper_backend.py;tests/core/test_prosody.py;tests/core/test_prosody_bounds.py;tests/core/test_say_backend.py;tests/core/test_srt_parser.py;tests/diarization/test_attribution.py;tests/diarization/test_pipeline.py;tests/diarization/test_resumable.py;tests/diarization/test_sherpa_backend.py;tests/personal_capture/test_benchmark.py;tests/personal_capture/test_config.py;tests/personal_capture/test_full_day_gate.py;tests/personal_capture/test_operations.py;tests/personal_capture/test_preflight.py;tests/personal_capture/test_review_app.py;tests/personal_capture/test_service.py;tests/support/assertions.py;tests/support/builders.py;tests/transcription/test_diarization_integration.py;tests/transcription/test_faster_whisper_backend.py;tests/transcription/test_mlx_backend.py;tests/transcription/test_models.py;tests/transcription/test_resumable.py;tests/translation/test_pipeline.py;tests/translation/test_resumable.py;tests/web/test_app.py;tests/web/test_result.py;tests/web/test_stream.py;tests/web/test_upload_limit.py,,,STATICALLY_REFERENCED,,,,,,NO_OR_UNKNOWN,ACTIVE_OR_EXTERNALLY_REACHABLE
dubbing/__main__.py,dubbing.__main__,module,1,6,,,dubbing.cli,dubbing.cli,EXTERNAL_OR_UNRESOLVED,,,,,,NO_OR_UNKNOWN,ACTIVE_OR_EXTERNALLY_REACHABLE
dubbing/aligner.py,dubbing.aligner,module,1,94,,dubbing/assembler.py;dubbing/batch.py;dubbing/cli/main.py;dubbing/diarization/attribution.py;dubbing/pipeline.py;tests/core/test_adversarial_hardening.py;tests/core/test_aligner.py;tests/core/test_assembler.py;tests/core/test_batch.py;tests/core/test_boundaries.py;tests/core/test_mutant_killers.py;tests/core/test_pipeline.py;tests/support/assertions.py,__future__;dataclasses;dubbing.models,__future__;dataclasses;dubbing.models,STATICALLY_REFERENCED,,,,,,YES,ACTIVE_OR_EXTERNALLY_REACHABLE
dubbing/apps/__init__.py,dubbing.apps.__init__,module,1,2,,acceptance.py;dubbing/apps/personal_capture/__init__.py;dubbing/apps/personal_capture/benchmark.py;dubbing/apps/personal_capture/preflight.py;dubbing/apps/personal_capture/review.py;dubbing/apps/personal_capture/runtime.py;dubbing/apps/personal_capture/service.py;dubbing/apps/personal_capture/watcher.py;dubbing/cli/main.py;tests/core/test_adversarial_hardening.py;tests/personal_capture/test_benchmark.py;tests/personal_capture/test_config.py;tests/personal_capture/test_operations.py;tests/personal_capture/test_preflight.py;tests/personal_capture/test_review_app.py;tests/personal_capture/test_service.py;tests/web/test_app.py;tests/web/test_result.py;tests/web/test_stream.py;tests/web/test_upload_limit.py,,,STATICALLY_REFERENCED,,,,,,NO_OR_UNKNOWN,ACTIVE_OR_EXTERNALLY_REACHABLE
dubbing/apps/dubbing_web.py,dubbing.apps.dubbing_web,module,1,159,,acceptance.py;tests/core/test_adversarial_hardening.py;tests/web/test_app.py;tests/web/test_result.py;tests/web/test_stream.py;tests/web/test_upload_limit.py,__future__;dubbing.assembler;dubbing.backends;dubbing.pipeline;flask;io;subprocess;uuid,__future__;dubbing.assembler;dubbing.backends;dubbing.pipeline;flask;io;subprocess;uuid,STATICALLY_REFERENCED,,,,,,NO_OR_UNKNOWN,ACTIVE_OR_EXTERNALLY_REACHABLE
dubbing/apps/personal_capture/__init__.py,dubbing.apps.personal_capture.__init__,module,1,10,,dubbing/apps/personal_capture/__init__.py;dubbing/apps/personal_capture/benchmark.py;dubbing/apps/personal_capture/preflight.py;dubbing/apps/personal_capture/review.py;dubbing/apps/personal_capture/runtime.py;dubbing/apps/personal_capture/service.py;dubbing/apps/personal_capture/watcher.py;dubbing/cli/main.py;tests/personal_capture/test_benchmark.py;tests/personal_capture/test_config.py;tests/personal_capture/test_operations.py;tests/personal_capture/test_preflight.py;tests/personal_capture/test_review_app.py;tests/personal_capture/test_service.py,dubbing.apps.personal_capture.service;dubbing.apps.personal_capture.store,dubbing.apps.personal_capture.service;dubbing.apps.personal_capture.store,STATICALLY_REFERENCED,,,,,,NO_OR_UNKNOWN,ACTIVE_OR_EXTERNALLY_REACHABLE
dubbing/apps/personal_capture/benchmark.py,dubbing.apps.personal_capture.benchmark,module,1,129,,tests/personal_capture/test_benchmark.py,__future__;argparse;datetime;difflib;dubbing.apps.personal_capture.config;dubbing.apps.personal_capture.outbox;dubbing.apps.personal_capture.runtime;json;pathlib;re;unicodedata,__future__;argparse;datetime;difflib;dubbing.apps.personal_capture.config;dubbing.apps.personal_capture.outbox;dubbing.apps.personal_capture.runtime;json;pathlib;re;unicodedata,STATICALLY_REFERENCED,,,,,,NO_OR_UNKNOWN,ACTIVE_OR_EXTERNALLY_REACHABLE
dubbing/apps/personal_capture/config.py,dubbing.apps.personal_capture.config,module,1,125,,dubbing/apps/personal_capture/benchmark.py;dubbing/apps/personal_capture/preflight.py;dubbing/apps/personal_capture/review.py;dubbing/apps/personal_capture/watcher.py;tests/personal_capture/test_config.py,__future__;json;pathlib,__future__;json;pathlib,STATICALLY_REFERENCED,,,,,,NO_OR_UNKNOWN,ACTIVE_OR_EXTERNALLY_REACHABLE
dubbing/apps/personal_capture/outbox.py,dubbing.apps.personal_capture.outbox,module,1,76,,dubbing/apps/personal_capture/benchmark.py;dubbing/apps/personal_capture/service.py;tests/personal_capture/test_operations.py,__future__;datetime;hashlib;json;os;pathlib;sqlite3,__future__;datetime;hashlib;json;os;pathlib;sqlite3,STATICALLY_REFERENCED,,,,,,NO_OR_UNKNOWN,ACTIVE_OR_EXTERNALLY_REACHABLE
