path,size_bytes,sha256,tracked_status,ignored_status,file_type,language,classification,generated_or_human,read_status,parser_used,purpose,principal_symbols,entrypoint_status,references_in,references_out,duplicate_group,risk_notes,reason_not_read
.git/COMMIT_EDITMSG,43,a35e6f9220fd6766d55b1479e6a3126fdc16682fd379bba3f7ed473863b1ddc7,GIT_INTERNAL,GIT_INTERNAL,text,,git_internal,generated,METADATA_ONLY,sha256+stat,Git repository metadata,,NOT_ENTRYPOINT,,,,,"Generated, vendored, cached, Git-internal, or binary file; inventoried by metadata and digest per audit scope."
.git/HEAD,42,27f4f18629013d875542b7faf56011310b787d1cd675eee8cdb7eb651f58dcc2,GIT_INTERNAL,GIT_INTERNAL,text,,git_internal,generated,FULL,utf8_full,Git repository metadata,,NOT_ENTRYPOINT,,,,,
.git/config,478,eba6ab099e1caa0bd13b80eb7bac0fad328de1689e2dd2506e765ad330726724,GIT_INTERNAL,GIT_INTERNAL,text,,git_internal,generated,FULL,utf8_full,Git repository metadata,,NOT_ENTRYPOINT,,,,,
.git/description,73,85ab6c163d43a17ea9cf7788308bca1466f1b0a8d1cc92e26e9bf63da4062aee,GIT_INTERNAL,GIT_INTERNAL,text,,git_internal,generated,METADATA_ONLY,sha256+stat,Git repository metadata,,NOT_ENTRYPOINT,,,,,"Generated, vendored, cached, Git-internal, or binary file; inventoried by metadata and digest per audit scope."
.git/hooks/applypatch-msg.sample,478,0223497a0b8b033aa58a3a521b8629869386cf7ab0e2f101963d328aa62193f7,GIT_INTERNAL,GIT_INTERNAL,text,,git_internal,generated,METADATA_ONLY,sha256+stat,Git repository metadata,,NOT_ENTRYPOINT,,,,,"Generated, vendored, cached, Git-internal, or binary file; inventoried by metadata and digest per audit scope."
.git/hooks/commit-msg.sample,896,1f74d5e9292979b573ebd59741d46cb93ff391acdd083d340b94370753d92437,GIT_INTERNAL,GIT_INTERNAL,text,,git_internal,generated,METADATA_ONLY,sha256+stat,Git repository metadata,,NOT_ENTRYPOINT,,,,,"Generated, vendored, cached, Git-internal, or binary file; inventoried by metadata and digest per audit scope."
.git/hooks/fsmonitor-watchman.sample,4726,e0549964e93897b519bd8e333c037e51fff0f88ba13e086a331592bf801fa1d0,GIT_INTERNAL,GIT_INTERNAL,text,,git_internal,generated,METADATA_ONLY,sha256+stat,Git repository metadata,,NOT_ENTRYPOINT,,,,,"Generated, vendored, cached, Git-internal, or binary file; inventoried by metadata and digest per audit scope."
.git/hooks/post-update.sample,189,81765af2daef323061dcbc5e61fc16481cb74b3bac9ad8a174b186523586f6c5,GIT_INTERNAL,GIT_INTERNAL,text,,git_internal,generated,METADATA_ONLY,sha256+stat,Git repository metadata,,NOT_ENTRYPOINT,,,,,"Generated, vendored, cached, Git-internal, or binary file; inventoried by metadata and digest per audit scope."
.git/hooks/pre-applypatch.sample,424,e15c5b469ea3e0a695bea6f2c82bcf8e62821074939ddd85b77e0007ff165475,GIT_INTERNAL,GIT_INTERNAL,text,,git_internal,generated,METADATA_ONLY,sha256+stat,Git repository metadata,,NOT_ENTRYPOINT,,,,,"Generated, vendored, cached, Git-internal, or binary file; inventoried by metadata and digest per audit scope."
.git/hooks/pre-commit.sample,1649,57185b7b9f05239d7ab52db045f5b89eb31348d7b2177eab214f5eb872e1971b,GIT_INTERNAL,GIT_INTERNAL,text,,git_internal,generated,METADATA_ONLY,sha256+stat,Git repository metadata,,NOT_ENTRYPOINT,,,,,"Generated, vendored, cached, Git-internal, or binary file; inventoried by metadata and digest per audit scope."
.git/hooks/pre-merge-commit.sample,416,d3825a70337940ebbd0a5c072984e13245920cdf8898bd225c8d27a6dfc9cb53,GIT_INTERNAL,GIT_INTERNAL,text,,git_internal,generated,METADATA_ONLY,sha256+stat,Git repository metadata,,NOT_ENTRYPOINT,,,,,"Generated, vendored, cached, Git-internal, or binary file; inventoried by metadata and digest per audit scope."
.git/hooks/pre-push.sample,1374,ecce9c7e04d3f5dd9d8ada81753dd1d549a9634b26770042b58dda00217d086a,GIT_INTERNAL,GIT_INTERNAL,text,,git_internal,generated,METADATA_ONLY,sha256+stat,Git repository metadata,,NOT_ENTRYPOINT,,,,,"Generated, vendored, cached, Git-internal, or binary file; inventoried by metadata and digest per audit scope."
.git/hooks/pre-rebase.sample,4898,4febce867790052338076f4e66cc47efb14879d18097d1d61c8261859eaaa7b3,GIT_INTERNAL,GIT_INTERNAL,text,,git_internal,generated,METADATA_ONLY,sha256+stat,Git repository metadata,,NOT_ENTRYPOINT,,,,,"Generated, vendored, cached, Git-internal, or binary file; inventoried by metadata and digest per audit scope."
.git/hooks/pre-receive.sample,544,a4c3d2b9c7bb3fd8d1441c31bd4ee71a595d66b44fcf49ddb310252320169989,GIT_INTERNAL,GIT_INTERNAL,text,,git_internal,generated,METADATA_ONLY,sha256+stat,Git repository metadata,,NOT_ENTRYPOINT,,,,,"Generated, vendored, cached, Git-internal, or binary file; inventoried by metadata and digest per audit scope."
.git/hooks/prepare-commit-msg.sample,1492,e9ddcaa4189fddd25ed97fc8c789eca7b6ca16390b2392ae3276f0c8e1aa4619,GIT_INTERNAL,GIT_INTERNAL,text,,git_internal,generated,METADATA_ONLY,sha256+stat,Git repository metadata,,NOT_ENTRYPOINT,,,,,"Generated, vendored, cached, Git-internal, or binary file; inventoried by metadata and digest per audit scope."
.git/hooks/push-to-checkout.sample,2783,a53d0741798b287c6dd7afa64aee473f305e65d3f49463bb9d7408ec3b12bf5f,GIT_INTERNAL,GIT_INTERNAL,text,,git_internal,generated,METADATA_ONLY,sha256+stat,Git repository metadata,,NOT_ENTRYPOINT,,,,,"Generated, vendored, cached, Git-internal, or binary file; inventoried by metadata and digest per audit scope."
