item,recommendation,evidence,present_role,reachability,dependencies,risk_of_change,tests,proposed_destination_or_connection,confidence,verification_before_mutation
dubbing core,KEEP_AS_IS,783 passing tests; mature history,SRT-to-WAV engine,CLI/web/Python API,TTS tools,medium,core test suites,retain package boundaries,high,full green suite
Personal Capture evidence renderings,CONSOLIDATE,review updates JSON only,parallel evidence formats,review/approval/package,renderers,high,review tests incomplete,one canonical model with regenerated projections,high,add edit/approve consistency tests
GIGA outbox payload,CONNECT,relative transcript not exported,reviewed-event producer,approved package export,source/package/outbox,high,benchmark only counts events,self-contained bundle or immutable resolvable URI,high,consumer contract test
preflight model checks,CONNECT,ASR/NLLB cache not checked,host admission gate,console/systemd runbook,model runtimes/cache,high,mocked preflight only,verify exact revisions/hashes offline,high,cold/offline host test
capture retry semantics,ORGANISE,failed/processing reclaimed each poll,error recovery,watcher/store,SQLite/watcher,high,state tests partial,lease + bounded backoff/operator retry policy,high,failure-loop and concurrency tests
checkpoint identity,CONSOLIDATE,semantic options omitted,resume authority,ASR/diar/translation,backend/model/options,high,resume tests only source changes,shared complete identity contract,high,option-change invalidation tests
legacy dubbing web,DOCUMENT,packaged unauthenticated 0.0.0.0 app,demo web UI,dubbing-web,Flask/TTS,high if exposed,web security tests,separate demo product and safe bind/auth policy,high,decide retention
acceptance shell wrapper,QUARANTINE,pip install + listener/TTS side effects,developer convenience,non-executable shell file,pip/Flask/TTS,high,mocked acceptance tests,replace with explicit documented environment setup,high,approve behavior change
current test/config drift,ORGANISE,5 failures,certification gates,pytest,fixtures/caches,low,full suite,synchronize fixture and canonical layout,high,rerun full suite
local .venv installation,CONSOLIDATE,old/broken entrypoints,developer runtime,shell commands,editable install,medium,clean-wheel probes,recreate/install certified wheel,high,verify all commands without starting servers
old output distributions,QUARANTINE,omit current source/commands,historical build,ignored files,packaging,low,member inspection,retain only as labelled audit evidence or remove,high,compare hashes/release receipts
JSON Schema,CONNECT,not runtime-loaded,declared config contract,tools/docs only,schema validator,medium,manual validation tests,generate/manual validation from one source,high,schema conformance tests
benchmark module,DOCUMENT,auto-approves and mutates outbox,host acceptance,module main/API,all ML models,medium-high,minimal benchmark test,explicit destructive/expensive runbook command,high,idempotent rerun test
generated caches and old bytecode,DELETE_CANDIDATE,stale paths; structure failure,no runtime authority,ignored only,tools,low,structure test,remove after source changes are committed,high,fresh traversal and suite
Graphify output,QUARANTINE,stale and failed refresh,secondary graph,ignored artifact,Graphify/API key,low,none,regenerate from stable commit,high,node/file reconciliation
source recordings and speaker evidence,DOCUMENT,sensitive biometric-like data,production inputs/derived evidence,inbox/packages,filesystem policy,high,no retention tests,formal retention/encryption/backup policy,high,operator/legal review
NLLB backend,INVESTIGATE_FURTHER,CC-BY-NC model and quality unproven,private translation,runtime,torch/transformers/model,high commercially,mocked unit tests,approved local model/revision,high,licence and quality evaluation
systemd/Tailscale deployment,INVESTIGATE_FURTHER,Mac-only evidence,persistent host services,Gigabyte,WSL/systemd/Tailscale/CUDA,high,none local,exact-commit host certification receipt,high,run host preflight/benchmark
